LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-04-10 05:37:54,1900-01-00 00:00:00,,B0:0A:D5:FE:5C:EF,-31, ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:54,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:54,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:54,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:54,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:55,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:55,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:55,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:55,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:55,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:55,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:55,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:55,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:55,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:55,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:56,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-34, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:56,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:56,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:56,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:56,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:56,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:56,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:56,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:56,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:56,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:57,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:57,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:57,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:57,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:57,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:57,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:57,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:57,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:57,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:58,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:58,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-10 05:37:58,1900-01-00 00:00:00,Apt 29,B0:0A:D5:FE:5C:EF,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
